"Date","Open","High","Low","Close"
"13 Jul 2020","10851.85","10894.05","10756.05","10802.70"
"10 Jul 2020","10764.10","10819.40","10713.00","10768.05"
"09 Jul 2020","10755.55","10836.85","10733.00","10813.45"
"08 Jul 2020","10818.65","10847.85","10676.55","10705.75"
"07 Jul 2020","10802.85","10813.80","10689.70","10799.65"
"06 Jul 2020","10723.85","10811.40","10695.10","10763.65"
"03 Jul 2020","10614.95","10631.30","10562.65","10607.35"
"02 Jul 2020","10493.05","10598.20","10485.55","10551.70"
"01 Jul 2020","10323.80","10447.05","10299.60","10430.05"
"30 Jun 2020","10382.60","10401.05","10267.35","10302.10"
"29 Jun 2020","10311.95","10337.95","10223.60","10312.40"
"26 Jun 2020","10378.90","10409.85","10311.25","10383.00"
"25 Jun 2020","10235.55","10361.80","10194.50","10288.90"
"24 Jun 2020","10529.25","10553.15","10281.95","10305.30"
"23 Jun 2020","10347.95","10484.70","10301.75","10471.00"
"22 Jun 2020","10318.75","10393.65","10277.60","10311.20"
"19 Jun 2020","10119.00","10272.40","10072.65","10244.40"
"18 Jun 2020","9863.25","10111.20","9845.05","10091.65"
"17 Jun 2020","9876.70","10003.60","9833.80","9881.15"
"16 Jun 2020","10014.80","10046.15","9728.50","9914.00"
"15 Jun 2020","9919.35","9943.35","9726.35","9813.70"
"12 Jun 2020","9544.95","9996.05","9544.35","9972.90"
"11 Jun 2020","10094.10","10112.05","9885.05","9902.00"
"10 Jun 2020","10072.60","10148.75","10036.85","10116.15"
"09 Jun 2020","10181.15","10291.15","10021.45","10046.65"
"08 Jun 2020","10326.75","10328.50","10120.25","10167.45"
"05 Jun 2020","10093.80","10177.80","10040.75","10142.15"
"04 Jun 2020","10054.25","10123.85","9944.25","10029.10"
"03 Jun 2020","10108.30","10176.20","10035.55","10061.55"
"02 Jun 2020","9880.85","9995.60","9824.05","9979.10"
"01 Jun 2020","9726.85","9931.60","9706.95","9826.15"
"29 May 2020","9422.20","9598.85","9376.90","9580.30"
"28 May 2020","9364.95","9511.25","9336.50","9490.10"
"27 May 2020","9082.20","9334.00","9004.25","9314.95"
"26 May 2020","9099.75","9161.65","8996.65","9029.05"
"22 May 2020","9067.90","9149.60","8968.55","9039.25"
"21 May 2020","9079.45","9178.55","9056.10","9106.25"
"20 May 2020","8889.15","9093.80","8875.35","9066.55"
"19 May 2020","8961.70","9030.35","8855.30","8879.10"
"18 May 2020","9158.30","9158.30","8806.75","8823.25"
"15 May 2020","9182.40","9182.40","9050.00","9136.85"
"14 May 2020","9213.95","9281.10","9119.75","9142.75"
"13 May 2020","9584.20","9584.50","9351.10","9383.55"
"12 May 2020","9168.85","9240.85","9043.95","9196.55"
"11 May 2020","9348.15","9439.90","9219.95","9239.20"
"08 May 2020","9376.95","9382.65","9238.20","9251.50"
"07 May 2020","9234.05","9277.85","9175.90","9199.05"
"06 May 2020","9226.80","9346.90","9116.50","9270.90"
"05 May 2020","9429.40","9450.90","9190.75","9205.60"
"04 May 2020","9533.50","9533.50","9266.95","9293.50"
"30 Apr 2020","9753.50","9889.05","9731.50","9859.90"
"29 Apr 2020","9408.60","9599.85","9392.35","9553.35"
"28 Apr 2020","9389.80","9404.40","9260.00","9380.90"
"27 Apr 2020","9259.70","9377.10","9250.35","9282.30"
"24 Apr 2020","9163.90","9296.90","9141.30","9154.40"
"23 Apr 2020","9232.35","9343.60","9170.15","9313.90"
"22 Apr 2020","9026.75","9209.75","8946.25","9187.30"
"21 Apr 2020","9016.95","9044.40","8909.40","8981.45"
"20 Apr 2020","9390.20","9390.85","9230.80","9261.85"
"17 Apr 2020","9323.45","9324.00","9091.35","9266.75"
"16 Apr 2020","8851.25","9053.75","8821.90","8992.80"
"15 Apr 2020","9196.40","9261.20","8874.10","8925.30"
"13 Apr 2020","9103.95","9112.05","8912.40","8993.85"
"09 Apr 2020","8973.05","9128.35","8904.55","9111.90"
"08 Apr 2020","8688.90","9131.70","8653.90","8748.75"
"07 Apr 2020","8446.30","8819.40","8360.95","8792.20"
"03 Apr 2020","8356.55","8356.55","8055.80","8083.80"
"01 Apr 2020","8584.10","8588.10","8198.35","8253.80"
"31 Mar 2020","8529.35","8678.30","8358.00","8597.75"
"30 Mar 2020","8385.95","8576.00","8244.00","8281.10"
"27 Mar 2020","8949.10","9038.90","8522.90","8660.25"
"26 Mar 2020","8451.00","8749.05","8304.90","8641.45"
"25 Mar 2020","7735.15","8376.75","7714.75","8317.85"
"24 Mar 2020","7848.30","8036.95","7511.10","7801.05"
"23 Mar 2020","7945.70","8159.25","7583.60","7610.25"
"20 Mar 2020","8284.45","8883.00","8178.20","8745.45"
"19 Mar 2020","8063.30","8575.45","7832.55","8263.45"
"18 Mar 2020","9088.45","9127.55","8407.05","8468.80"
"17 Mar 2020","9285.40","9403.80","8915.60","8967.05"
"16 Mar 2020","9587.80","9602.20","9165.10","9197.40"
"13 Mar 2020","9107.60","10159.40","8555.15","9955.20"
"12 Mar 2020","10039.95","10040.75","9508.00","9590.15"
"11 Mar 2020","10334.30","10545.10","10334.00","10458.40"
"09 Mar 2020","10742.05","10751.55","10294.45","10451.45"
"06 Mar 2020","10942.65","11035.10","10827.40","10989.45"
"05 Mar 2020","11306.05","11389.50","11244.60","11269.00"
"04 Mar 2020","11351.35","11356.60","11082.15","11251.00"
"03 Mar 2020","11217.55","11342.25","11152.55","11303.30"
"02 Mar 2020","11387.35","11433.00","11036.25","11132.75"
"28 Feb 2020","11382.00","11384.80","11175.05","11201.75"
"27 Feb 2020","11661.25","11663.85","11536.70","11633.30"
"26 Feb 2020","11738.55","11783.25","11639.60","11678.50"
"25 Feb 2020","11877.50","11883.05","11779.90","11797.90"
"24 Feb 2020","12012.55","12012.55","11813.40","11829.40"
